english,tamil
Some days went well.,சில நாள் சரியா தான் போச்சு.
Everything is not lost.,எல்லாமே இழந்து போகலையே.
But the police did not take any action on that complaint.,ஆனா போலீஸ் அந்த complaint-ல எந்த ஒரு action-ம் எடுக்கல.
Illegal immigration is a problem in Assam.,அஸ்ஸாம்ல Illegal immigration ஒரு பிரச்சனை.
There's an investigation going on in this matter right now.,இந்த விஷயத்துல இப்போ ஒரு investigation நடந்துட்டு இருக்கு.
The eye turns yellow and the skin turns yellow.,"கண்ணு மஞ்சள் நிறமாவும், தோல் மஞ்சள் நிறமாவும் மாறுது."
"In our country, regular educational campaigns are used to reduce birthrate, but in Mexico, the largest family is a cultural heritage, and it's a sign of male virility and female fertility.","நம்ம நாட்டுல birthrate கம்மி பண்றதுக்கு regular educational campaigns use பண்ணிட்டு இருக்காங்க, ஆனா Mexico-ல பெரிய family-ன்னா அது ஒரு cultural heritage, அது ஆண்கள் virility-யும் பெண் fertility-யும்-ன்னு சொல்லுற proof-ஆவும் பாக்கப்படுது."
"If he doesn't do this ministry, his soul and soul will have no value. Is our ministry like that?","அவர் இந்த ministry-ஐ செய்யலன்னா, அவரோட ஆன்மாக்கும் உயிர்க்கும் எந்த value-ம் இருக்காது. நம்ம ministry-யும் அப்படி இருக்கா?"
How can they benefit from rejecting discipline from Jehovah?,யெகோவாவிடமிருந்து discipline-ஐ reject பண்றதால அவங்களுக்கு என்ன பலன் கிடைக்குது?
There's a policy.,ஒரு policy இருக்கு.
"Then the king of Syria decided to go to Hazael, fight against Gad, capture it, and go to Hazael Jerusalem.","அப்புறம் சிரியா ராஜா Hazael போய் காத்துக்கு எதிரா போராடி, அதைக் கைப்பற்றிட்டு, Hazael Jerusalem-க்கு போகலாம்னு முடிவு பண்ணிட்டாரு."
That's why the idea for the edict to restrict the prayer came from the conspirators.,அதனாலதான் prayer-ஐ restrict பண்ற edict-க்கான idea-ஐ conspirators-ல இருந்து வந்தது.
23:27 How can a whiptrust call a pit and a well?,"23: 27 ஒரு விப்ட்ரூஸ்ட் எப்படி குழி, கிணறுன்னு சொல்றாங்க?"
Can you say what you said in a line?,நீங்க சொன்னத ஒரு line-ல சொல்ல முடியுமா?
"At the same time, there was tension in the area because of this incident.","அதே நேரம், இந்த incident-னால அந்த area-ல tension இருந்துச்சு."
But nothing.,"ஆனா, ஒண்ணும் இல்ல."
Why pay them a pension?,அவங்களுக்கு ஏன் pension கொடுக்கணும்?
"The film stars Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Ramya Krishna, Sathyaraj, and Nassar in lead roles.","Baahubali franchise-ஓட இரண்டாவது cinematic part இந்த படம், இதுல Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Ramya Krishna, Sathyaraj, மற்றும் Nassar lead roles-ல நடிச்சிருக்காங்க."
Direct nitration should not be used because of the reactivity of the aniline.,aniline-ன் reactivity-னால direct nitration use பண்ணக் கூடாது.
But was that all Isaiah's prophecy was saying?,"ஆனா, Isaiah-வோட prophecy-ல இத மட்டும் தான் சொல்லி இருந்தாருமா?"
Reflection on facts,உண்மைகளோட பிரதிபலிப்பு
This may be over soon.,இது சீக்கிரமே முடிஞ்சிடலாம்.
"So, CERT-In overseas Computer Emergency Response Teams (CERTs) are also collaborating for incident response and resolution.","அதனால, incident response and resolution-க்கு CERT-In overseas Computer Emergency Response Teams (CERTs) கூட collaborate பண்ணிட்டு இருக்கு."
Men were told not to bathe in the river.,ஆண்கள்னு ஆற்றக் குளிக்கக் கூடாதுன்னு சொல்லிட்டாங்க.
They looked down and they sacrificed their lives for it.,"அவங்க கீழ திரும்பிப் பார்த்தாங்க, அதுக்காக அவங்க உயிரையே தியாகம் பண்ணாங்க."
Now people understand that.,அதெல்லாம் இப்போ மக்கள் புரிஞ்சுக்கிட்டாங்க.
"Like Ammuvasi Naan's film became a national success, in the next film too, they see and complain.","அம்முவாசி நான் படம் national success ஆன மாதிரி, அடுத்தடுத்த படத்துலயும் பார்ததி, என்னமோ, பார்த்து, குறை சொல்றாங்க."
Prime Minister Narendra Modi and BJP President Amit Shah.,பிரதமர் நரேந்திர மோடி அவர்களும் BJP President அமித் ஷா அவர்களும்.
"So, it's happening through a process called nondisjunction, which means that when these two cells are divided, they say that the chromosomes are not properly sorted?","சோ, இது nondisjunction-ன்னு சொல்லப்படுற ஒரு process-னாலதான் நடக்குது, அதாவது இந்த ரெண்டு, தெரியுமா, cells divide ஆகும்போது, chromosomes properly-ஆ sort ஆகாதுன்னு சொல்லுவாங்க,?"
It's called Wichita-Jabara.,Wichita-Jabara-ன்னு சொல்லுவாங்க.
How do we control this?,இத எப்படி control பண்றது?
The BJP is following the same economic policies.,BJP-யும் அதே economic policies-அ follow பண்றாங்க.
New Zealand and Pakistan are going to clash in three T20Is and two Test matches.,New Zealand-ம் Pakistan-ம் மூணு T20Is-லயும் ரெண்டு Test matches-லயும் மோதுங்க போகுது.
One student reported the incident to the police.,ஒரு student இது பத்தி police-க்கு தகவல் சொன்னாங்க.
"A creature full of wickedness, hatred, and strife!","பொல்லா, வெறுப்பு, சண்டை எல்லாம் நிறைஞ்ச ஒரு creature!"
This component has been given Rs 4.80 lakh in the 2016-2017 budget estimate.,இந்த component-க்கு 2016-2017 Budget Estimate-ல 4.80 லட்சம் ரூபாய் கொடுக்கப்பட்டிருக்கு.
It's an annual contest.,இது வருஷா வருஷம் நடக்குற ஒரு contest.
[Image on page 10],[பக்கம் 10-ல இருக்குற படம்]
"So, don't try to blame anyone.","சோ, நீங்க யாரையும் குற்றம் சொல்ல try பண்ணாதீங்க."
"As of now, payments can be made only in cash-on-delivery mode.","இப்போதைக்கு, cash-on-delivery mode-ல மட்டும் தான் payment பண்ண முடியும்."
5 kg of contraband was seized.,5 கிலோ contraband பறிமுதல் செய்யப்பட்டது.
Mom is struggling a lot.,அம்மா ரொம்ப கஷ்டப்படுறாங்க.
"So, if not contradicted, all groups should have the opportunity to participate in research, but it should not be forced on anyone.","சோ, contraindicated இல்லன்னா, எல்லா groups-க்கும் research-ல participate பண்ண opportunity இருக்கணும், ஆனா இத யார்கிட்டயும் திணிக்கக் கூடாது."
Support services provide for new community-oriented projects related to socioeconomic development,socio economic development-ல தொடர்புடைய புது community oriented projects-க்கு support services provide பண்றது
"Hostel inmates are sanctioned to buy miscellaneous charges such as soap, toilet soap, coconut oil, tooth paste, hair cutting charges.","Hostel inmates-க்கு miscellaneous charges-ல soap, toilet soap, coconut oil, tooth paste, hair cutting charges இதெல்லாம் வாங்குறதுக்கு sanction பண்ணிருக்காங்க."
"In one dictionary, success means buying wealth, favor and eminence.","ஒரு dictionary-ல success-னா wealth, favor, eminence எல்லாம் வாங்குறதுன்னு சொல்லி இருக்காங்க."
You can sleep well.,நல்லா தூங்கலாம்.
The driver of the car died on the spot.,அந்த காருல இருந்த driver அந்த இடத்துலயே இறந்துட்டாரு.
"When I finally got home in St. Martin, I was driving in the car and I saw Maria wheat being chowed.","நான் கடைசியா St. Martin-ல வீட்டுக்கு வந்தப்போ, நான் car-ல போயிட்டு போயிட்டு இருந்தப்போ, Maria wheat அறுக்குறத பாத்தேன்."
Nothing really happens.,உண்மையிலேயே எதுவும் நடக்காதுங்க.
Sunny Leone has been chosen for a special song in the film.,படத்துல ஒரு special song-க்கு Sunny Leone-ஐ தேர்ந்தெடுத்துருக்காங்க.
Kerala should get more rice free cost: Pinarayi Vijayan to PM Modi,கேரளாவுக்கு கூடுதலா rice free of cost கொடுக்கணும்: Pinarayi Vijayan to PM Modi
Justice Ashok Bhushan led the bench.,அந்த bench-ஐ Justice Ashok Bhushan தான் lead பண்ணாரு.
Side bars are special.,side bars special-னு சொல்லுவாங்க.
"TN Deputy CM Shri. O. Paneervellam, TN Minister for Industries Sri. M.C. Sampath and other dignitaries from many countries were also present.","இந்த நிகழ்வில் TN Deputy CM திரு. O. பனிர்வெல்லம், TN Minister for Industries திரு. M. C. சம்பத் மற்றும் பல நாடுகளைச் சேர்ந்த பிரமுகர்களும் கலந்துகிட்டாங்க."
These laws will not be in favour of farmers.,இந்த சட்டங்கள் விவசாயிகளுக்கு சாதகமா இருக்காது.
But the Korean brand's best-selling model in India is the elite i20 premium hatchback.,"ஆனா, இந்தி யாவுல Korean brand-ஓட best-selling model Elite i20 premium hatchback தான்."
Alwal police are still investigating.,அல்வால் போலீஸ் தொடர்ந்து விசாரணை நடத்தி வருகிறார்கள்.
"Speaking to reporters at the Confederation of the Indian Industries, Aiyar said, ""We looked at what the U.S. was concerned, and I think the U.S. knows exactly what our energy requirements are. By 2025, we will need 100 million standard cubic meters of natural gas per day.","Confederation of the Indian Industries-ல reporters-கிட்ட பேசும்போது, Aiyar சொன்னாரு, 'US-ன் கவலைகள் என்னன்னு நாங்க கவனிச்சுக்கிட்டோம், and நம்ம energy requirements எவ்வளவுன்னு US-க்கு நல்லாவே தெரியும்னு நினைக்கிறேன்.... 2025-க்குள்ள நாங்க 100 million standard cubic meters natural gas ஒரு நாளைக்குத் தேவைப்படுவோம்."
Farmers will get technology and advice for high value agriculture and that produce will get a ready market.,"Farmers-க்கு high value agriculture-க்கான technology மற்றும் advice கிடைக்கும், அந்த produce-க்கு ready market-ம் கிடைக்கும்."
"I have also said that in the Chennai Police investigation, my Manger Mr. Pradeep Kumar or my team member did not find any ill doing.","இதுலயும் சொல்லி இருக்கேன், Chennai Police investigation-ல எங்க Manger Mr. Pradeep Kumar-ஆடயோ இல்ல என்னோட Team member-ஆடயோ எந்த ஒரு ill doing-ம் கண்டுபிடிக்கல."
The European Parliament voted to approve its exit from the European Union.,United Kingdom European Union-ல இருந்து வெளியேறனதுக்கு European Parliament vote பண்ணி approve பண்ணிட்டாங்க.
Nutrient Storage and Farm Soil Management,சத்துக்களை சேமிப்பு மற்றும் பண்ணை மண்ணு பாதுகாப்பு
"Three, does this belief affect how you live life right now?","மூணா, இந்த நம்பிக்கை இப்போதைக்கு நீங்க எப்படி வாழ்க்கையை வாழ்பீங்கன்னு பாதிக்குமா?"
"Political changes can be long-time, protracted developments that don't come in a finished form.",Political changes-னா long time-ஆ ஒரு finished form-ல வராத protracted developments-ஆ இருக்கலாம்.
"The third Test is going on at the Sydney Cricket Ground, as of now, Australia has the upper hand.","மூன்றாவது Test Sydney Cricket Ground-ல நடந்துட்டு இருக்கு, இப்போதைக்கு Australia-க்கு upper hand இருக்கு போல."
"Tell me: Do you know who rules everything, who is under whose protection, and who is not?","சொல்லுங்க: யாரு எல்லாத்தையும் ஆட்சி செய்யறாங்க, யாரு யாரோட பாதுகாப்புல இருக்காரு, யாரு யாரோட பாதுகாப்புல இல்லன்னு உங்களுக்குத் தெரியுமா?"
Christ said it would happen when He came back in His future presence.,கிறிஸ்து அவர் future presence-ல திரும்பி வரும்போது அது நடக்கும்னு சொன்னார்.
"Archery is a traditional sport in Ladakh, there are archery festivals in many villages, where traditional dancing, drinking, gambling are more than sport.","Ladakh-ல Archery ஒரு traditional sport, நிறைய கிராமங்கள்ல archery festivals நடக்கும், அதுல traditional dancing, drinking, gambling எல்லாம் ரொம்பவே இருக்கும், sport-அ விட அதிகமா."
"Around 12 lakh students have appeared for the final exams of class 10, 11 and 12.","10, 11, 12 வகுப்பு final exams-ல 12 லட்சம் students வரைக்கும் எழுதி இருக்காங்க."
"At that time, Master was just 17 years old.",அந்த நேரத்துல குருதேவருக்கு வெறும் 17 வயசு தான் ஆகுச்சு.
He really served that capacity until he was 93.,அவர் 93 வயசுல இறங்கும் வரைக்கும் அந்த capacity-ல உண்மையாவே serve பண்ணாரு.
I'm still in that phase.,நான் இன்னும் அந்த phase-ல தான் இருக்கேன்.
"But before we look at how to design unit test cases, let's answer a basic question. Can we do system testing better, why do we test at the unit level, why can't we invest our effort in full-capacity system testing, why do we do unit testing and then we do integration and system testing.","ஆனா, எப்படி unit test cases-ஐ design பண்றதுன்னு பாக்குறதுக்கு முன்னாடி, ஒரு basic question-க்கு answer பண்றோம். System testing-ஐ நல்லா பண்ணிடலாமா, unit level-ல ஏன் test பண்றோம், நம்ம effort-ஐ full-ஆ system testing-லயே invest பண்ண முடியாதே, ஏன் unit testing பண்ணிட்டு, அப்புறம் integration and system test பண்றோம்."
High tension consumers can also pay electricity bills through National Electronic Funds Transfer/Real Time Gross Settlement (NEFT/RTGS).,High Tension consumers-க்கு National Electronic Funds Transfer/Real Time Gross Settlement (NEFT/RTGS) மூலமா electricity bill கட்டவும் வசதி இருக்கு.
How does it fare in real life?,இது real-life-ல எப்படி fare ஆகும்?
Why are you asking this question?,இந்த கேள்விய ஏன் கேக்குறீங்க?
Business on the road,ரோடில வியாபாரம்
230 Crores.,230 கோடி.
"In other cases, the final decision is yet to be made.",மத்த cases-ல எல்லாம் இன்னும் final decision எடுக்கல.
We will also plant trees and grow.,நாங்க மரங்களும் நட்டு வளருவோம்.
It is listed in NSE and BSE.,இது NSE-லயும் BSE-லயும் listed பண்ணிருக்காங்க.
"In a major boost to the Indian Air Force's combat capabilities, eight US-made Apache AH-64E attack helicopters are about to join the IAF.","Indian Air Force-ன் combat capabilities-க்கு ஒரு பெரிய boost-ஆ, எட்டு US-made Apache AH-64E attack helicopters IAF-ல சேரப்போகுது."
"Fans should not come to the stadium, initially they should sit six feet apart from commentators studios, not to be crowded in dugouts, not more than 15 people in the dressing room, post-match award presentations to follow social distancing norms, all the players have to undergo four Covid tests in two weeks.","Stadium-க்குள்ள fans யாரும் வரக் கூடாது, ஆரம்பத்துலயும், commentators studios-ல ஆறு அடி இடைவெளி விட்டு உட்காரணும், dugouts-ல கூட்டத்தோட இருக்க கூடாது, dressing room-ல 15 பேருக்கு மேல இருக்க கூடாது, post-match award presentations social distancing norms follow பண்ணனும், players எல்லாருக்கும் two weeks-ல four Covid tests போடணும்."
Around 30 people were injured in the incident.,இந்த சம்பவத்தில் சுமார் 30 பேர் காயமடைந்தனர்.
Don't even drink water.,தண்ணி கூட குடிக்காதீங்க.
Both his legs were bent.,அவருடைய ரெண்டு கால்களும் வளைஞ்சு இருந்தது.
"52 crores, Rs.","52 கோடி, ரூ."
This has to stop.,இத நிறுத்தணும்.
All PM-KISAN beneficiaries who have submitted applications till February 26th have been contacted to issue Kisan Credit Cards on February 29th at bank branches.,February 26th வரைக்கும் application submit பண்ணிருக்கிற எல்லா PM-KISAN beneficiaries-க்கும் February 29th அன்னைக்கு bank branches-ல Kisan Credit Cards கொடுக்க phone பண்ணிருக்காங்க.
One farmer died in the incident.,இந்த சம்பவத்துல ஒரு farmer இறந்துட்டாரு.
That's how we can solve this problem.,அப்போதான் இந்த problem solve பண்ண முடியும்.
"Luza Nagib Eluf, from the Brazilian Ministry of Justice, says that men are very few girls because of the fear of AIDS, and looking for boys makes the problem even worse.","AIDS பயத்தால ஆண்கள் ரொம்ப கம்மியான பொண்ணுங்க, பையன்கள தேடறதுனால problem இன்னும் அதிகமாகிடுச்சுன்னு Brazils Ministry of Justice-ல இருக்க Luza Nagib Eluf சொல்றாங்க."
You have no place here.,இங்க உங்களுக்கு இடம் இல்லை.
Come to me.,எங்ககிட்ட வந்துருங்க.
Rs.19 crore,ரூ.19 கோடி
The patient is fine after the medication.,மருந்து போட்ட பிறகு patient நல்லா இருக்காரு.
He was interested in it.,அவருக்கு அதுல ஆர்வம் இருந்துச்சு.
Politics is different.,Politics வேற மாதிரி இருக்கும்.
That's what happens in America.,அமெரிக்கா-ல அப்படித்தான் நடக்கும்.
"You know, you have to wait.","பார்த்தா தெரியும், wait பண்ணனும்."
That sounds a little terrifying.,அப்படின்னா கொஞ்சம் பயங்கரமாத்தான் தோணுச்சு.
"Mula's economy relies mainly on tourism (coast) and agriculture, forestry and marble quarries (inland).","Mula-வோட economy முக்கியமா tourism (coast-ல) மற்றும் agriculture, forestry, marble quarries (inland)-ஐ நம்பி இருக்கு."
Use this golden opportunity and enjoy the pictures.,இந்த golden opportunity-ஐ use பண்ணி படங்களை enjoy பண்ணுங்க.
"After that attack, the security measures are even tighter.","அந்த attack-க்கு அப்புறம், security measures இன்னும் tight பண்ணிட்டாங்க."
Three others have been arrested in this case.,இந்த case-ல வேற மூணு பேரையும் arrest பண்ணிருக்காங்க.
White power!,வெள்ளை சக்தி!
"If you learn from the experience of Manuel and you get spiritual strength, even the mountains don't matter.","Manuel experience மூலமா கத்துக்கிட்டா, ஒருத்தவங்களுக்கு spiritual strength வந்தா, மலைகள் கூட பெரிய விஷயமில்லன்னு சொல்லுவாங்க."
It cannot be avoided.,அதைத் தவிர்க்க முடியாது.
"As I said at the beginning of this article, if you were an adolescent parent, you would feel like you're in a different climate today than it was a few years ago.","இந்த article-ல ஆரம்பத்துல சொன்ன மாதிரி, நீங்க ஒரு adolescent-ஓட parent-ஆ இருந்தா, ஒரு சில வருஷத்துக்கு முன்னாடி இருந்த climate-ஐ விட இப்போ ஒரு வித்தியாசமான climate-ல இருக்க மாதிரி உங்களுக்கு தோணும்."
Don't let anyone guess.,யாரையும் யூகிக்க விடாதீங்க.
The two of them had been talking on Facebook for the past two months.,இந்த ரெண்டு பேரும் கடந்த ரெண்டு மாசமா Facebook-ல தொடர்ந்து பேசிட்டே இருந்தாங்க.
Stalin has said that DMK will voice interest for TN in Parliament.,DMK Parliament-ல TN-க்கான interest-ஐ voice பண்ணும்னு Stalin சொல்லி இருக்காரு.
That's what they're saying.,இதுதான் அவங்க சொல்லுறது.
Tamil Nadu legislative assembly election,தமிழ்நாடு சட்டமன்றத் தேர்தல்
"Kasdan, Kershner, and producer Gary Kurtz made this film a more serious and adult film, thanks to the new, darker storyline, and developed the series from the light adventure roots of the first film.","Kasdan, Kershner, and producer Gary Kurtz இந்த படத்த more serious and adult film-ஆ பாக்கிட்டாங்க, new, darker storyline-னால help ஆயிருச்சு, first film-ஓட light adventure roots-ல இருந்து series-அ develop பண்ணாங்க."
He has written lyrics for more than 270 films.,அவர் 270-க்கும் மேற்பட்ட படங்களுக்கு lyrics எழுதி இருக்காரு.
What started as a financial crisis has now turned into a global economic crisis.,"ஒரு financial crisis-ஆ ஆரம்பிச்சது, இப்போ ஒரு global economic crisis-ஆ மாறிடுச்சு."
"The megatonnage in the stockpile of the world's nuclear weapons is enough to kill 58 billion people, or 12 times for each one of the world's nuclear weapons.","உலகத்துல இருக்குற nuclear weapons-ன் stockpile-ல இருக்குற megatonnage, 58 billion மக்களைக் கொல்ல போதுமானது, இல்லன்னா இப்போ இருக்குற ஒவ்வொருத்தரும் 12 தடவை கொல்ல போதுமானது."
There's now a massive long-term reconstruction and rehabilitation program.,இப்போ ஒரு massive long-term reconstruction and rehabilitation programme நடந்துட்டு இருக்கு.
What is this world going to?,இந்த உலகம் எதுக்கு போயிட்டு இருக்கு?
US President Donald Trump and Prime Minister Narendra Modi addressed the gathering at Motera Stadium today.,US President Donald Trump-ம் Prime Minister Narendra Modi-யும் இன்னைக்கு Motera Stadium-ல கூடியவங்கள address பண்ணாங்க.
They've all come true to you. They didn't fail a word. Joshua 23:14.,அவங்க எல்லாமே உங்களுக்கு உண்மையா ஆயிடுச்சு. அவங்க ஒரு வார்த்தை கூட fail பண்ணல. யோசுவா 23: 14.
Two children and a woman are said to be among the victims.,இரண்டு குழந்தைகளும் ஒரு பெண்ணும் பாதிக்கப்பட்டவர்களில் அடங்குவதாக சொல்லப்படுது.
How did you come to this conclusion?,இந்த முடிவுக்கு எப்படி வந்தீங்க?
I don't like them.,அவங்க எனக்குப் பிடிக்கல.
"In the Philippines, Cecilia says: As a mother, I care a lot about my daughters and my mother. Now my mother doesn't recognize me.","பிலிப்பைன்ஸ்ல இருக்க Cecilia சொல்றாங்க: ஒரு அம்மாவா, எனக்கு என் பொண்ணுங்களையும் என் அம்மாவையும் பத்தி ரொம்ப கவலை. இப்போ என் அம்மா என்னைய recognize பண்ணவே மாட்டாங்க."
"At that time, the girl committed suicide.","அந்த நேரத்துல, அந்தப் பொண்ணு தற்கொலை பண்ணிட்டாங்க."
"Google was the first to invest in Dunzo, in the $12-million investment round, and the tech giant took the lead. This is Google's first direct investment in India.","Dunzo-ல Google முதல்ல invest பண்ணது, $12-million investment round-ல, அந்த tech giant தான் lead பண்ணிச்சு. அதுதான் Google-ன் first direct investment in India-ன்னு சொல்லலாம்."
He said this on the media after the discussions.,அவர் discussions முடிஞ்சுட்டு media-ல இத சொன்னாரு.
What is gross domestic product?,gross domestic product-ன்னா என்ன?
"If you have any interest in these charitable planning arrangements, please contact the Charitable Planning Office at the address below or contact the Societies office in your country.","இந்த charitable planning arrangements-ல ஏதாவது உங்களுக்கு interest இருந்தா, கீழ இருக்குற address-ல சொல்லி இருக்குற Charitable Planning Office-அ telephone மூலமா contact பண்ணுங்க, அல்லது உங்க நாட்டுல இருக்குற Societys office-ல contact பண்ணுங்க."
There was a problem saving the %1 file.,%1 file save பண்றதுல ஒரு problem இருந்துச்சு.
When are you leaving?,எப்போ போறீங்க?
We're very sad about this government's decision.,இந்த government-ஓட decision-ல எங்களுக்கு ரொம்ப வருத்தமா இருக்கு.
That guy is gone.,அந்த ஆளு போயிட்டாங்க.
A few people had gathered there.,சில பேர் அங்க கூடியிருந்தாங்க.
"Trisha is said to be the leading lady in this film, before that she had also acted with Chiranjeevi in Stalin's film.","இந்த படத்துல Trisha தான் leading lady-ன்னு சொல்றாங்க, அதுக்கு முன்னாடி Stalin படத்துல Chiranjeevi கூட அவங்க நடிச்சிருந்தாங்க."
"So, make sure you don't overdo.","அதனால, overdo பண்ணாம பார்த்துக்கோங்க."
He also started crying.,அவரும் அழ ஆரம்பிச்சிட்டாரு.
Am I pregnant?,நான் கர்ப்பமா?
The police have filed 17 FIRs in this regard.,இது சம்பந்தமா police 17 FIRs போட்டிருக்காங்க.
Can you?,உங்களால முடியுமா?
There's evidence on record.,record-ல evidence இருக்கு.
The seat fell vacant after former Chief Minister J Jayalalithaa was found guilty in a disproportionate asset case at a special court in Bangalore.,"முன்னாள் முதல்வர் ஜெயலலிதா அவர்கள் Bangalore-ல் உள்ள special court-ல் disproportionate asset case-ல குற்றவாளியா கண்டுபிடிக்கப்பட்டு, தண்டனை பெற்றதை அடுத்து இந்த seat காலியாயிடுச்சு."
Onions: 2 (finely chopped),வெங்காயம்: 2 (நல்லா பொடியா நறுக்கியது)
The police then fired water bombs at the protesters.,"இதையடுத்து, போலீஸ் protesters மேல தண்ணி பீயிங் குண்டாட்டிச்சாங்க."
Onion prices are very difficult for the common people.,பொது மக்களுக்கு வெங்காய விலை ரொம்ப கஷ்டமா இருக்கு.
"If you have Standard Short-Term Loans up to Rs.3 lakh for agriculture and allied activities in banks from March 1, 2020 to August 31, 2020, you can repay/renew it till 31.08.2020. This includes 2% IS for banks and 3% for farmers. This will help farmers. Because, in this COVID pandemic period, you can renew your loans at 4% p.a. interest to escape.","March 1, 2020 -ல இருந்து August 31, 2020 -க்குள்ள banks-ல agriculture and allied activities-க்கு Rs.3 லட்சம் வரைக்கும் Standard Short-Term loans இருந்தா, அதை 31.08.2020 வரைக்கும் repay பண்ணலாம்/ renew பண்ணலாம். இதுல Banks-க்கு 2% IS, farmers-க்கு 3% PRI இருக்கு. இது farmers-க்கு உதவும். ஏன்னா, இந்த COVID pandemic period-ல banks-க்கு போகிறது தப்பிக்க 4% p.a. interest-ல loans-ஐ renew பண்ணிக்கலாம்."
All the reports that our production house is closing are wrong.,நம்ம production house மூடப்படுதுன்னு சொல்ற reports எல்லாம் தப்பு.
So I don't think I need worry too much.,அதனால நான் ரொம்ப கவலை பட வேண்டியதில்லைன்னு நினைக்கிறேன்.
We don't talk about politics.,நாங்க politics பத்தி பேச மாட்டோம்.
Add half a teaspoon of turmeric powder and salt.,"அரை டீஸ்பூன் மஞ்சள் தூள், உப்பு சேர்த்துக்கோங்க."
"For one thing, some of the insects and the microbes they carry are developing resistance to insecticides and medicines.","ஒரு விஷயம் என்னன்னா, சில insects-ம் அவங்க carry பண்ற microbes-ம் insecticides, medicines-க்கு resistance develop பண்ணிட்டு இருக்கு."
No tests or education are required.,"Test, education எதுவும் தேவையில்லைங்க."
Who knows how to dance?,யாருக்கெல்லாம் dance ஆடத் தெரியும்?
The Global Crude oil price of Indian Basket on 08.09.2017 was US$ 53.63 per bbl.,08.09.2017 அன்னைக்கு Global Crude oil price of Indian Basket US$ 53.63 per bbl-ஆ இருந்துச்சு.
Snidhiya asked.,ஸ்னிதியா கேட்டாரு.
I've seen it myself.,நானே அது பாத்துருக்கேன்.
Politie is investigating this.,போலிட்டி இதுக்கு investigate பண்ணிட்டு இருக்காங்க.
This exam is mandatory for admission to medical and dental colleges.,மெடிக்கல் மற்றும் பல் மருத்துவக் கல்லூரிகளில் சேருவதற்கு இந்தத் தேர்வு கட்டாயமா இருக்கு.
Nayanthara is one of the top-billed female actors in Tamil cinema.,நயன்றா தமிழ் சினிமாவுல top-billed female actors-ல ஒருத்தங்க.
The police investigation is ongoing.,பொலிஸ் investigation-ம் நடந்துட்டு இருக்கு.
Paleontology is a very new science.,Paleontology ரொம்பப் புது science-ன்னு சொல்லலாம்.
The shooting has begun.,ஷூட்டிங் ஆரம்பிச்சுடுச்சு.
I think you're going to need it.,உங்களுக்கு அது தேவைப்படும்னு நினைக்கிறேன்.
I'm worried.,கவலையா இருக்கு.
"Friends, India's development is a significant contribution to global growth.","நண்பர்களே, இந்தியாவோட வளர்ச்சி, உலக வளர்ச்சிக்கு ஒரு significant contribution-ஆ இருக்கு."
The MCC lineup will be led by Sri Lanka's former skipper and current MCC president Kumar Sangakkara.,MCC lineup-ஐ Sri Lanka-வோட முன்னாள் skipper மற்றும் தற்போதைய MCC president Kumar Sangakkara lead பண்ணுவாரு.
No need...,தேவை இல்லை...
"Beneficiary registration, microplanning and planned sites will test the entire planning of vaccination drive in the supervision of District Collectors and District Magistrates.","Beneficiary registration, microplanning, planned sites-ல vaccination-னு vaccination drive-ஓட முழு planning-ம் District Collectors மற்றும் District Magistrates-ஓட supervision-ல test பண்ணுவாங்க."
"The Maoists have pointed to the Andhra MLA, the ex-leader.","Andhra MLA, ex-leader-ஐ Maoists சுட்டிப் படுகையிட்டுள்ளாங்க."
"So, that Rs.","சோ, அந்த Rs."
I said I got the acknowledgement.,Acknowledgement வாங்கிட்டேன்னு சொல்லிட்டாங்க.
Public sector workers have won 232 awards and private sector has 106 awards.,"Public Sector workers 232 Awards வாங்கி இருக்காங்க, Private Sector-ல 106 Awards வாங்கி இருக்காங்க."
Rajinikanth and Kamal Haasan are two popular celebrities in Tamil cinema.,தமிழ் சினிமாவுல ரஜினிகாந்த் அவர்களும் கமல்ஹாசன் அவர்களும் ரெண்டு பிரபலமான celebrities.
He said he's very proud to be part of this special event.,அவர் இந்த special event-ல ஒருத்தரா இருக்கது ரொம்ப பெருமைன்னு சொன்னாரு.
Automatically mode & bold underline formatting.,Automatically mode-ல & bold underline formatting பண்ணிடுங்க.
Vacancies: There are 10.,Vacancies: 10 இருக்கு.
Is it free?,இது free-ஆவா?
The matter was investigated by a bench headed by Chief Justice SA Bobde.,இந்த விஷயத்த Chief Justice SA Bobde தலைமையிலான bench வச்சு விசாரணை பண்ணாங்க.
"Is there something else to do, isn't it?",வேற வேலை ஏதாவது இருக்கா இல்லையா?
Over 30,30-க்கு மேல
Do you know what cytoplasm nucleus is?,Cytoplasm Nucleus-னா என்னன்னு தெரியுமா?
That will never happen.,அது ஒருநாளும் நடக்காதுங்க.
Big celebration,பெரிய கொண்டாட்டம்
"After taking some provisions and the Bible, I took refuge in the nearby mountains.","சில provisions-ம் Bible-யும் எடுத்துட்டு, நான் பக்கத்துல இருந்த மலைகள்ல refuge ஆயிட்டேன்."
"In 1940, he was arrested again and lodged in Vellore Central Prison.",1940-ல மறுபடியும் அவர arrest பண்ணி வேலூர் Central Prison-ல போட்டாங்க.
